,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,symbol,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,logo_url,fax,toCurrency,address2,quoteSourceName,averageDailyVolume3Month,regularMarketTime,regularMarketChange,preMarketPrice,exchangeDataDelayedBy,postMarketChange,postMarketPrice,exchangeName,preMarketChange,regularMarketSource,marketState
0,06010-6376,Industrials,4952.0,"Barnes Group Inc. provides engineered products, industrial technologies, and solutions in the United States and internationally. It operates in two segments: Industrial and Aerospace. The Industrial segment offers precision components, products, and systems used by various customers in end-markets, such as transportation, industrial equipment, automation, personal care, packaging, electronics, and medical devices. This segment also designs and manufactures hot runner systems, mold cavity sensors and process control systems, and precision high cavitation mold assemblies for injection molding applications; provides force and motion control solutions for various metal forming and other industrial markets; and designs and develops robotic grippers, end-of-arm tooling systems, sensors, and other automation components for intelligent robotic handling solutions and industrial automation applications. In addition, it manufactures and supplies precision mechanical products, including mechanical springs, and high-precision punched and fine-blanked components used in transportation and industrial applications, including mechanical springs, and high-precision punched and fine-blanked components. This segment sells its products primarily through its direct sales force and distribution channels. The Aerospace segment produces fabricated and precision machined components and assemblies for turbine engines; and nacelles and structures for commercial and defense-related aircraft. It also provides aircraft engine component maintenance, repair, and overhaul services for turbine engine manufacturers, commercial airlines, and defense market; and manufactures and delivers aerospace aftermarket spare parts. This segment serves original equipment manufacturing industry. The company was founded in 1857 and is based in Bristol, Connecticut.",Bristol,860 583 7070,CT,United States,[],http://www.barnesgroupinc.com,1.0,123 Main Street,Specialty Industrial Machinery,0.18802,0.06516,0.35325,177988992.0,0.364,0.11428001,222044992.0,50.0,buy,403153000.0,129405872.0,60.0,49.84,47.005,2.162,0.03235,5.0,57.0,47.215,0.05811,65.0,91134000.0,656480000.0,1180971008.0,1.802,USD,23.206,1.261,2.2,NYQ,"Barnes Group, Inc.",Barnes Group Inc.,America/New_York,EDT,False,-14400000,,EQUITY,B,,,finmb_254193,9d5ed678-fe57-3cca-a101-40957afab571,us_market,,2.614,,13.903,0.21698809,,2.48,,50575300.0,,,,27.496,434751.0,0.0086,,1609372800.0,0.89695,76948000.0,1.51,0.16,0.31688225,1.8126273,0.073520005,1672444800.0,,1625011200.0,3.51,1625011200.0,47086131.0,1.260869,3087031552.0,2.0,,1150070400.0,2:1,,1621987200.0,,42.194,2.304791,1627603200.0,2.7,,20.096773,,0.0109,472831.0,,,,49.86,49.98,51.561813,0.01283594,0.6154,,50.27,,112428.0,49.86,50.173428,0.64,49.98,112428.0,,,0.64,1621987200.0,,,49.34,USD,48.061718,150487.0,,,,2524550400.0,,,143887.0,49.34,49.86,800.0,150487.0,57.64,,1.16,33.59,49.77,False,0.0124,900.0,50.27,49.84,https://logo.clearbit.com/barnesgroupinc.com,,,,,,,,,,,,,,,
1,95051,Healthcare,16500.0,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The Life Sciences and Applied Markets segment offers liquid and gas chromatography systems and components; liquid and gas chromatography mass spectrometry systems; inductively coupled plasma mass and optical emission spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate readers; laboratory software, information management, and analytics; laboratory automation and robotic systems; dissolution testing; vacuum pumps; and measurement technologies. The Diagnostics and Genomics segment provides arrays for DNA mutation detection, genotyping, gene copy number determination, identification of gene rearrangements, DNA methylation profiling, and gene expression profiling, as well as sequencing target enrichment, genetic data management, and interpretation support software; and equipment to produce synthesized oligonucleotide. It also offers immunohistochemistry, in situ hybridization, and hematoxylin and eosin staining and special staining; instruments, consumables, and software for quality control analysis of nucleic acid samples; and reagents for use in turbidimetry and flow cytometry, as well as develops pharmacodiagnostics. The Agilent CrossLab segment provides GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and startup, operational, training, compliance support, software as a service, asset management, and consultation services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. It has collaboration agreement with SGS AXYS. The company was incorporated in 1999 and is headquartered in Santa Clara, California.",Santa Clara,800 227 9770,CA,United States,[],http://www.agilent.com,1.0,5301 Stevens Creek Boulevard,Diagnostics & Research,0.26612,0.15902,0.53498,1376999936.0,0.232,0.21350999,1548000000.0,135.0,buy,2837000000.0,1088125056.0,150.0,158.15,1.188,1.999,0.078200005,17.0,148.94,64.927,0.19315,160.0,1380000000.0,3123000064.0,5816999936.0,4.548,USD,18.979,1.396,1.9,NYQ,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",America/New_York,EDT,False,-14400000,,EQUITY,A,,,finmb_154924,,us_market,,8.464,,31.807,0.58469176,,4.61,,303443008.0,,,,15.854,3344717.0,0.011,,1604102400.0,0.89689004,925000000.0,2.99,0.194,0.31688225,9.9754,0.00281,1667174400.0,,1619740800.0,1.83,1625011200.0,302496482.0,0.993006,49237934080.0,2.0,,1414972800.0,1398:1000,,1625184000.0,,1.139,8.249873,1627603200.0,3.33,,34.305855,,0.011,2456982.0,,,,156.52,156.51,134.97108,0.004778942,0.2502,,158.49,,1490362.0,156.52,150.64285,0.748,156.51,1490362.0,,,0.78,1625184000.0,,,156.12,USD,52.892975,1334099.0,,,,47989510144.0,,,1706564.0,156.12,158.59,900.0,1334099.0,158.49,,0.81,94.53,158.19,False,0.005,800.0,158.49,158.15,https://logo.clearbit.com/agilent.com,866 497 1134,,,,,,,,,,,,,,
2,33178,Industrials,39000.0,"Ryder System, Inc. operates as a logistics and transportation company worldwide. The company operates through three segments: Fleet Management Solutions (FMS), Supply Chain Solutions (SCS), and Dedicated Transportation Solutions (DTS). The FMS segment offers full service leasing and leasing with flexible maintenance options, as well as maintenance services, supplies, and related equipment for operation of the vehicles; commercial vehicle rental services; and contract or transactional maintenance services of trucks, tractors, and trailers, as well as fleet support services. This segment also provides access to diesel fuel; offers fuel planning and tax reporting, cards, and monitoring services, and centralized billing; and sells used vehicles through its 59 retail sales centers and Usedtrucks.Ryder.com website. The DTS segment offers equipment, maintenance, drivers, administrative, and additional services, as well as routing and scheduling, fleet sizing, safety, regulatory compliance, risk management, technology and communication systems support, and other technical support services. The SCS segment comprises distribution management services, such as designing and managing customer's distribution network and facilities; providing e-commerce services; coordinating warehousing and transportation for inbound and outbound material flows; handling import and export for international shipments; coordinating just-in-time replenishment of component parts to manufacturing and final assembly; and offering shipments to customer distribution centers or end customer delivery points, as well as other value added services, such as light assembly of components. This segment also offers transportation management services, such as shipment optimization, load scheduling, and delivery confirmation services through technological and web-based solutions; and knowledge-based professional services. Ryder System, Inc. was founded in 1933 and is headquartered in Miami, Florida.",Miami,305-500-3726,FL,United States,[],http://www.ryder.com,1.0,11690 NW 105th Street,Rental & Leasing Services,0.27954,0.02915,0.19587,2213757952.0,0.257,0.08304,2506748928.0,82.0,buy,1511488000.0,1599534720.0,90.0,79.15,,0.585,0.03433,7.0,89.57,268.326,0.11884,100.0,267992000.0,6488705024.0,8967361536.0,4.984,USD,171.236,0.513,2.5,NYQ,"Ryder System, Inc.","Ryder System, Inc.",America/New_York,EDT,False,-14400000,,EQUITY,R,,,finmb_33956,,us_market,,1.17,,4.184,1.0312259,,6.61,,53773600.0,,,,44.97,1172857.0,0.0218,,1609372800.0,0.90137,270780992.0,4.918,0.56,0.31688225,1.7600622,0.00738,1672444800.0,,1625011200.0,1.6,1625011200.0,53140146.0,1.975793,10488185856.0,2.0,,755913600.0,1:1,,1621555200.0,,,0.47463018,1627603200.0,-0.85,,11.974281,,0.024500001,1242678.0,,,,79.36,79.62,75.0041,0.028225806,0.43919998,,79.89,,521962.0,79.36,74.222855,2.24,79.62,521962.0,,,2.32,1629417600.0,,,78.24,USD,16.09394,320643.0,,,,4256180480.0,,,601253.0,78.24,79.21,1000.0,320643.0,89.65,,3.51,38.28,79.17,False,0.0292,800.0,79.89,79.15,https://logo.clearbit.com/ryder.com,,,,,,,,,,,,,,,
3,10001,Consumer Cyclical,75711.0,"Macy's, Inc., an omnichannel retail organization, operates stores, websites, and mobile applications under the Macy's, Bloomingdale's, and bluemercury brands. It sells a range of merchandise, including apparel and accessories for men, women, and kids; cosmetics; home furnishings; and other consumer goods. As of January 30, 2021, the company operated 727 store locations in 43 states, the District of Columbia, Puerto Rico, and Guam. It also operates in Dubai, the United Arab Emirates and Al Zahra, Kuwait under the license agreements. The company was formerly known as Federated Department Stores, Inc. and changed its name to Macy's, Inc. in 2007. Macy's, Inc. was founded in 1830 and is headquartered in New York, New York.",New York,(513) 579-7780,NY,United States,[],http://www.macysinc.com,1.0,151 West 34th Street,Department Stores,0.03371,-0.01312,0.34521,1307000064.0,0.545,-0.0005,668000000.0,14.0,hold,5811000000.0,761500032.0,19.5,19.3,,1.312,-0.00034000003,12.0,19.42,299.738,-0.0968,27.0,1798000000.0,8017999872.0,19814000640.0,5.765,USD,63.639,0.457,3.4,NYQ,Macy's Inc,"Macy's, Inc.",America/New_York,EDT,False,-14400000,,EQUITY,M,,,finmb_318091,,us_market,,0.626,,18.56,1.8421807,,2.07,,311868000.0,,,,8.577,42250849.0,0.1355,,1611964800.0,0.83333,-260000000.0,-0.84,0.378,0.31688225,2.250204,0.00239,1675036800.0,,1619827200.0,3.43,1625011200.0,311288354.0,2.115115,12398113792.0,2.0,,1150070400.0,2:1,,1583971200.0,,,0.30377772,1627603200.0,-0.74,,9.323671,,0.18040001,41491342.0,,,,19.81,20.3,17.180288,0.0,0.0,,20.37,,12075437.0,19.81,17.95,0.0,20.3,12075437.0,,,,1583971200.0,,,18.925,USD,,14517594.0,,,,6019052032.0,,,14607473.0,18.925,19.37,1800.0,14517594.0,22.3,,,5.57,19.16,False,,1800.0,20.37,19.3,https://logo.clearbit.com/macysinc.com,,,,,,,,,,,,,,,
4,10018,Financial Services,10407.0,"Alleghany Corporation provides property and casualty reinsurance and insurance products in the United States and internationally. The company operates in three segments: Reinsurance, Insurance, and Alleghany Capital. The Reinsurance segment offers fire, allied lines, auto physical damage, and homeowners multiple peril reinsurance products; and casualty and other reinsurance products, such as medical malpractice, ocean marine and aviation, accident and health, mortgage, surety, and credit reinsurance products, as well as directors' and officers', errors and omissions, general, and auto liability reinsurance. It distributes its products and services through brokers, as well as directly to insurance and reinsurance companies. The Insurance segment underwrites specialty insurance coverages in the property, as well as umbrella/excess, general, directors' and officers', and professional liability lines; surety products comprising commercial and contract surety bonds; and workers' compensation insurance products. It distributes its products through independent wholesale insurance brokers, and retail and general insurance agents. The Alleghany Capital segment provides precision automated machine tool solutions; manufactures custom trailers and truck bodies for the moving and storage industry, and other markets; and operates as a toy, and entertainment and musical instrument company. It also offers various services for pharmaceutical and biotechnology industries; products and services for the funeral and cemetery industries, and precast concrete markets; and hotel management and development services, as well as operates as a structural steel fabricator and erector. The company also owns and manages improved and unimproved commercial land, and residential lots. As of December 31, 2020, it owned approximately 106 acres of property. The company was founded in 1929 and is based in New York, New York.",New York,212 752 1356,NY,United States,[],http://www.alleghany.com,1.0,1411 Broadway,Insurance—Property & Casualty,0.13806,0.085360005,0.40342999,1666679040.0,0.315,0.122,1486818048.0,775.0,buy,2767853000.0,1621547648.0,832.5,683.56,1.341,1.281,0.02826,2.0,832.5,21.994,0.107329994,890.0,1250467968.0,2063651968.0,10768935936.0,90.155,USD,765.267,0.741,2.3,NYQ,Alleghany Corporation,Alleghany Corporation,America/New_York,EDT,False,-14400000,,EQUITY,Y,,,finmb_169056,,us_market,,0.978,,7.084,0.2507,,64.18,,13870200.0,,,,658.232,139548.0,0.0101,,1609372800.0,0.88556,919286016.0,65.327,15.0,0.31688225,1.0384789,0.03302,1672444800.0,,1625011200.0,2.69,1625011200.0,13410719.0,0.685852,10532412416.0,2.0,,1301443200.0,102:100,,1583280000.0,,1.276,0.88041323,1627603200.0,0.19,,10.65067,,0.0104,146034.0,,,,683.37,687.04,660.7369,,0.0,,687.08,,50712.0,683.37,666.6203,,687.04,50712.0,,,,1583280000.0,,,681.01,USD,10.463667,47941.0,,,,9481113600.0,,,60012.0,681.01,685.09,800.0,47941.0,737.89,,,486.49,683.81,False,,800.0,687.08,683.56,https://logo.clearbit.com/alleghany.com,,,34th Floor,,,,,,,,,,,,
5,10013,Financial Services,214000.0,"Citigroup Inc., a diversified financial services holding company, provides various financial products and services to consumers, corporations, governments, and institutions in North America, Latin America, Asia, Europe, the Middle East, and Africa. The company operates in two segments, Global Consumer Banking (GCB) and Institutional Clients Group (ICG). The GCB segment offers traditional banking services to retail customers through retail banking, Citi-branded cards, and Citi retail services. It also provides various banking, credit card, lending, and investment services through a network of local branches, offices, and electronic delivery systems. The ICG segment offers wholesale banking products and services, including fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative, equity and fixed income research, corporate lending, investment banking and advisory, private banking, cash management, trade finance, and securities services to corporate, institutional, public sector, and high-net-worth clients. As of December 31, 2020, it operated 2,303 branches primarily in the United States, Mexico, and Asia. Citigroup Inc. was founded in 1812 and is headquartered in New York, New York.",New York,212-559-1000,NY,United States,[],http://www.citigroup.com,1.0,388 Greenwich Street,Banks—Diversified,0.0,0.30115998,0.0,22150000640.0,0.583,0.37735,,66.0,buy,58369000000.0,,85.0,74.13,6.508,,0.0095,23.0,84.54,,0.10967,114.0,961484029952.0,581759008768.0,71689003008.0,474.389,USD,34.54,,2.1,NYQ,"Citigroup, Inc.",Citigroup Inc.,America/New_York,EDT,False,-14400000,,EQUITY,C,,,finmb_391687,,us_market,,-2.935,,,0.40480244,,7.96,,2026790016.0,,,,90.865,32127226.0,0.0159,,1609372800.0,0.79674006,20338999296.0,9.75,0.51,0.31688225,0.81582564,0.00227,1672444800.0,,1625011200.0,1.58,1625011200.0,2022751880.0,1.907477,-210388860928.0,2.0,,1304899200.0,1:10,,1627603200.0,,4.865,2.0958016,1627603200.0,0.27,,9.312814,,0.0159,29755321.0,,,,74.3,74.33,70.67144,0.027456257,0.2092,,74.64,,17819150.0,74.3,69.04,2.04,74.33,17819150.0,,,2.04,1627603200.0,,,73.6285,USD,7.6030765,14179442.0,,,,150245933056.0,,,20488204.0,73.6285,74.28,800.0,14179442.0,80.29,,2.31,40.49,74.12,False,0.0275,1200.0,74.64,74.13,https://logo.clearbit.com/citigroup.com,,,,,,,,,,,,,,,
6,00144,Energy,31436.0,"Eni S.p.A. engages in the exploration, development, and production of crude oil and natural gas. It operates through Exploration & Production; Global Gas & LNG Portfolio; Refining & Marketing and Chemicals; Eni gas e luce, Power & Renewables; and Corporate and Other activities segments. The Exploration & Production segment is involved in the research, development, and production of oil, condensates and natural gas; and forestry conservation and CO2 capture and storage projects. The Global Gas & LNG Portfolio segment engages in the supply and wholesale of natural gas by pipeline, international transport; and purchase and marketing of LNG. The Refining & Marketing and Chemicals segment is involved in the processing, supply, distribution, and marketing of fuels and chemicals. The Eni gas e luce, Power & Renewables segment engages in the retail sales of gas, electricity, and related activities, as well as in the production and wholesale of electricity produced by thermoelectric and renewable plants. As of December 31, 2020, it had net proved reserves of 6,905 million barrels of oil equivalent; and installed operational capacity of 4.6 GW. The company was founded in 1953 and is headquartered in Rome, Italy.",Rome,39 06 59821,RM,Italy,[],http://www.eni.com,1.0,Piazzale Enrico Mattei 1,Oil & Gas Integrated,0.19582,-0.00365,0.28882998,6536999936.0,0.98,0.05764,10552000512.0,22.0,underperform,11546000000.0,3539624960.0,24.41,24.7,,1.355,0.01652,2.0,24.41,78.758,-0.00463,26.82,16120000512.0,31960000512.0,53886001152.0,9.024,EUR,30.166,0.983,4.0,NYQ,ENI S.p.A.,Eni S.p.A.,America/New_York,EDT,False,-14400000,,EQUITY,E,,,finmb_358534,,us_market,,1.11,,5.67,0.2729156,,3.45,,1786269952.0,,,,22.67,733926.0,0.0004,,1609372800.0,0.01243,-237000000.0,-0.164,0.583344,0.31688225,1.0895457,0.0,1672444800.0,,1625011200.0,4.38,1625011200.0,1226831413.0,1.310886,59830636544.0,2.0,,1136851200.0,5:2,,1621814400.0,,,0.8187817,1627603200.0,,,7.1594205,,,683381.0,,,,24.58,24.61,23.93633,0.027257934,,,24.7,,106075.0,24.58,23.803429,0.67,24.61,106075.0,,,0.86,1621814400.0,,,24.495,USD,,52552.0,,,,44120870912.0,,,204607.0,24.495,24.66,1000.0,52552.0,26.18,,6.12,13.36,24.64,False,0.0356,800.0,24.7,24.7,https://logo.clearbit.com/eni.com,39 06 59 82 21 41,,,,,,,,,,,,,,
7,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YHD,,"Pandora Media, Inc.",America/New_York,EDT,False,-14400000,,MUTUALFUND,P,,,,,us_market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delayed Quote,,1561759658.0,,,0.0,,,YHD,,DELAYED,POST
8,94103-3104,Technology,4001.0,"Unity Software Inc. operates a real-time 3D development platform. Its platform provides software solutions to create, run, and monetize interactive, real-time 2D and 3D content for mobile phones, tablets, PCs, consoles, and augmented and virtual reality devices. The company offers its solutions directly through its online store and field sales operations in North America, Denmark, Finland, the United Kingdom, Germany, Japan, China, Singapore, and South Korea, as well as indirectly through independent distributors and resellers worldwide. The company was founded in 2004 and is headquartered in San Francisco, California.",San Francisco,415 539 3162,CA,United States,[],http://unity.com,1.0,30 3rd Street,Software—Application,-0.4642,-0.52076,0.76706004,-80231000.0,0.484,-0.51484,-431449984.0,75.0,buy,600098000.0,-120644000.0,123.0,126.69,,3.586,-0.1514,12.0,123.05,6.618,-0.36988,170.0,1589024000.0,130357000.0,929454016.0,5.809,USD,3.799,3.468,1.9,NYQ,Unity Software Inc.,Unity Software Inc.,America/New_York,EDT,False,-14400000,,EQUITY,U,,,finmb_241908542,,us_market,,34.144,,-73.554,0.77542067,,,,279416992.0,,,,7.201,10813321.0,0.0387,,1609372800.0,0.79149,-484023008.0,-1.979,,0.31688225,17.59339,0.22692,1672444800.0,,1625011200.0,4.96,1625011200.0,165290203.0,,31735048192.0,2.0,,,,,,,,38.086166,1627603200.0,-4.52,,,,0.08140001,12382332.0,,,,121.35,119.98,105.85791,,0.0,,127.97,,3312200.0,121.35,106.464,,119.98,3312200.0,,,,,,,119.05,USD,,9200835.0,,,,35399340032.0,,,3305789.0,119.05,126.54,800.0,9200835.0,174.94,,,65.11,126.06,False,,900.0,127.97,126.69,https://logo.clearbit.com/unity.com,,,,,,,,,,,,,,,
